Razão Social;Nome Fantasia;CNPJ;Porte;Data de Inicio da Operação;Situação;Atividade;CEP;UF;Localidade;Bairro;Logradouro;Complemento;Telefone;Email Institucional;Email Comercial;Site;Data de Geração do Certificado;Data de Validade do Certificado;Código do Certificado;CNAE;Natureza Jurídica;Tipo de Veículo;Veículos Aquáticos;Veículos Terrestre;Línguas;Quantidade de Veículos;Trimestre
CLB - CENTRO DE LOGISTICA BRASIL EIRELI;CENTRO DE LOGISTICA BRASIL;11.770.389/0001-70;MICROEMPRESA;30/03/2010;Em Operação;Locadora de Veículos para Turistas;76400-000;GO;Uruaçu; - ;Sem Logradouro; - ;(62)3357-6165;clburuacu@hotmail.com;clburuacu@hotmail.com; - ;27/12/2018 09:55:19;27/12/2020 09:55:19;11.770.389/0001-70;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ;Espanhol;0;2020T01
CLB - CENTRO DE LOGISTICA BRASIL EIRELI;CENTRO DE LOGISTICA BRASIL;11.770.389/0002-51;MICROEMPRESA;20/10/2017;Em Operação;Locadora de Veículos para Turistas;76380-109;GO;Goianésia;Centro;José Carrilho Leste;- até 262/263;(62)3357-6165;CLBURUACU@HOTMAIL.COM;CLBURUACU@HOTMAIL.COM; - ;27/12/2018 10:13:27;27/12/2020 10:13:27;11.770.389/0002-51;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ;Inglês;0;2020T01
TRANSARQUI LOCADORA DE VEICULOS LTDA;TRANSARQUI LOCADORA DE VEICULOS LTDA.;11.866.698/0001-49;DEMAIS;14/04/2010;Em Operação;Locadora de Veículos para Turistas;04267-000;SP;São Paulo;Vila Dom Pedro I;Sem Logradouro; - ;(11)3628-6638;paloma@transarqui.com.br;paloma@transarqui.com.br;www.transarqui.com.br;21/01/2019 12:58:23;21/01/2021 12:58:23;11.866.698/0001-49;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada;Terrestre; - ;Microonibus;Alemão|Catalão|Eslovaco|Espanhol|Francês|Hebraico|Inglês|Italiano|Japonês|Mandarim|Russo|Sérvio;2;2020T01
LOQUALITY LOCADORA DE VEICULOS E PRESTADORA DE SERVICOS LTDA;LOQUALITY LOCADORA;11.885.040/0001-84;MICROEMPRESA;03/05/2010;Em Operação;Locadora de Veículos para Turistas;21220-430;RJ;Rio de Janeiro;Vila da Penha;Professor Teixeira da Rocha; - ;(21)4101-8324;loquality@loquality.com.br;loquality@loquality.com.br;WWW.EXPRESSOANGRENSE.COM.BR;17/10/2018 12:27:30;17/10/2020 12:27:30;11.885.040/0001-84;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada;Terrestre; - ;Microonibus; - ;2;2020T01
LLX VEICULOS LTDA.;LLX VEICULOS;11.896.301/0001-61;DEMAIS;04/05/2010;Em Operação;Locadora de Veículos para Turistas;41810-012;BA;Salvador;Pituba;Professor Magalhães Neto;- lado par;(71)3332-1980;livia@locarx.com.br;loja.salvador@locarx.com.br;www.locarx.com.br;20/03/2020 13:32:42;20/03/2022 13:32:42;11.896.301/0001-61;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Inglês;0;2020T01
LESTE TUR VIAGENS, TURISMO E ENCOMENDAS LTDA;LESTE TUR;11.900.082/0001-47;MICROEMPRESA;03/05/2010;Em Operação;Locadora de Veículos para Turistas;78068-685;MT;Cuiabá;Boa Esperança;Archimedes Pereira Lima;- lado par;(65)3664-1177;lestetur@gmail.com;lestetur@gmail.com; - ;11/07/2019 15:18:20;11/07/2021 15:18:20;11.900.082/0001-47;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
SILVAN TUR TRANSPORTE DE PASSAGEIROS LTDA;SILVAN TUR;11.900.205/0001-40;EMPRESA DE PEQUENO PORTE;29/04/2010;Em Operação;Locadora de Veículos para Turistas;78008-800;MT;Cuiabá;Lixeira;Professor João Gomes Monteiro Sobrinho; - ;(65)9993-4513;silvantur@gmail.com;silvantur@gmail.com; - ;27/02/2020 15:09:51;27/02/2022 15:09:51;11.900.205/0001-40;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
JOSE DO CARMO LAGE;J LAGE TURISMO;11.930.218/0001-61;MICROEMPRESA;12/05/2010;Em Operação;Locadora de Veículos para Turistas;34400-000;MG;Raposos; - ;Sem Logradouro; - ;(31)3543-3080;adenisefaria2015@gmail.com;adenisefaria@bol.com.br; - ;06/12/2018 10:49:05;06/12/2020 10:49:05;11.930.218/0001-61;7719-5/99 - LOCAÇÃO DE OUTROS MEIOS DE TRANSPORTE NÃO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR;Empresário (Individual);Terrestre; - ;Microonibus|Ônibus; - ;5;2020T01
ALPHAVILLE TRANSPORTE, FRETAMENTO E TURISMO EIRELI;FRETADO ALPHAVILLE;11.935.866/0001-00;EMPRESA DE PEQUENO PORTE;13/05/2010;Em Operação;Locadora de Veículos para Turistas;13185-531;SP;Hortolândia;Jardim Santo Antônio;Ignácia de Morais Leite; - ;(11)4181-1304;fretado@fretadoalphaville.com.br;fretado@fretadoalphaville.com.br;www.fretadoalphaville.com.br;23/10/2018 12:00:19;23/10/2020 12:00:19;11.935.866/0001-00;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
ARENA RENT A CAR LOCACOES LTDA;ARENA LOCAÇÃO  DE VEÍCULOS;11.940.483/0001-20;MICROEMPRESA;19/02/1987;Em Operação;Locadora de Veículos para Turistas;59035-010;RN;Natal;Quintas;Compositor José Luiz; - ;(84)3302-7618;contato@arenarentacar.com.br;contato@arenarentacar.com.br; - ;27/08/2018 10:15:21;27/08/2020 10:15:21;11.940.483/0001-20;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Inglês;0;2020T01
SOL DOURADO SERVICOS DE TRANSPORTES RODOVIARIOS EIRELI;SD TOUR;11.962.077/0001-69;DEMAIS;06/05/2010;Em Operação;Locadora de Veículos para Turistas;48730-000;BA;Conceição do Coité; - ;avenida Oldack amacio;;(75)3262-1487;eliane.soldourado@hotmail.com;eliane.soldourado@hotmail.com; - ;23/03/2020 17:22:05;23/03/2022 17:22:05;11.962.077/0001-69;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
HELCIO TEIXEIRA;HT LOCADORA DE VEÍCULOS;12.022.221/0001-40;MICROEMPRESA;31/05/2010;Em Operação;Locadora de Veículos para Turistas;28970-000;RJ;Araruama; - ;Sem Logradouro; - ;(22)2665-4067;helcioturismo@hotmail.com;helcioturismo@hotmail.com; - ;24/03/2020 15:43:26;24/03/2022 15:43:26;12.022.221/0001-40; - ;Empresário Individual; - ; - ; - ;Espanhol|Inglês;0;2020T01
GERA PORTO PRODUCAO DE EVENTOS E COMERCIO DE A & B EIRELI;GERA PORTO;12.037.041/0001-31;MICROEMPRESA;27/05/2010;Em Operação;Locadora de Veículos para Turistas;45810-000;BA;Porto Seguro; - ;Av. Navegantes, 69;Sala 16;(73)3288-2310;gera_porto@hotmail.com;PORTOTEC@UOL.COM.BR; - ;14/01/2020 16:10:00;14/01/2022 16:10:00;12.037.041/0001-31;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
ABRAV CONSTRUCOES SERVICOS EVENTOS E LOCACOES EIRELI;ABRAV;12.044.788/0001-17;EMPRESA DE PEQUENO PORTE;07/05/2010;Em Operação;Locadora de Veículos para Turistas;63610-000;CE;Mombaça; - ;Rua Jaime Benevides;355;(88)9964-7700;abravservice@hotmail.com.br;abravservice@hotmail.com.br; - ;17/12/2018 18:06:52;17/12/2020 18:06:52;12.044.788/0001-17;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
FRANAIL TRANSPORTE DE PASSAGEIROS E CARGAS EIRELI;TRANS FRANAIL;12.057.425/0001-16;MICROEMPRESA;10/05/2010;Em Operação;Locadora de Veículos para Turistas;08576-320;SP;Itaquaquecetuba;Vila Virgínia;Castilho; - ;(11)4646-4989;PAULO@CDCONTABIL.COM.BR;PAULO@CDCONTABIL.COM.BR; - ;16/03/2020 11:10:55;16/03/2022 11:10:55;12.057.425/0001-16;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
VH LOCADORA, TRANSPORTE RODOVIARIO E EVENTOS LTDA;VH PRODUÇÕES E EVENTOS;12.061.268/0001-12;MICROEMPRESA;09/06/2010;Em Operação;Locadora de Veículos para Turistas;24020-072;RJ;Niterói;Centro;Ernani do Amaral Peixoto;467 - Sala 706;(21)2263-3456;vhlogistic@vhlogistic.com.br;vhlogistic@vhlogistic.com.br;www.vhlogistic.com.br;19/11/2018 15:08:57;19/11/2020 15:08:57;12.061.268/0001-12;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Inglês;0;2020T01
A & A AGRA LTDA;HOTEL NORTE E LOC FACIL LOCADORA DE VEICULOS;12.064.991/0001-55;MICROEMPRESA;10/06/2010;Em Operação;Locadora de Veículos para Turistas;68900-030;AP;Macapá;Central;Padre Júlio Maria Lombaerd, 1976;;(96)9812-1758;airtonagrajunior@hotmail.com;airtonagrajunior@hotmail.com;www.hotelnorte.com.br;20/04/2018 09:31:55;20/04/2020 09:31:55;12.064.991/0001-55;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
PIABECAR LOCACAO DE VEICULOS LTDA;LOCAFIRME;12.090.074/0001-45;MICROEMPRESA;16/06/2010;Em Operação;Locadora de Veículos para Turistas;28909-581;RJ;Cabo Frio;São Cristóvão;América Central;1001 - lado ímpar;(22)3053-1742;locafirmelocadora@gmail.com;locafirmelocadora@gmail.com;www.locafirme.com;24/07/2019 12:02:20;24/07/2021 12:02:20;12.090.074/0001-45;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
SANDRA MARIA BARBOSA - LOCADORA;SWLOCADORA;12.115.372/0001-42;MICROEMPRESA;17/06/2010;Em Operação;Locadora de Veículos para Turistas;15052-357;SP;São José do Rio Preto;Jardim Felicidade;Maria Helena Monteiro Najen; - ;(17)9129-4898;brasilvan2009@hotmail.com;brasilvan2009@hotmail.com; - ;11/03/2019 09:30:56;11/03/2021 09:30:56;12.115.372/0001-42;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
SEVEN OFFICE TRANSPORTE DE EXECUTIVOS LTDA;SEVEN EXECUTIVE SERVICE;12.115.517/0001-05;MICROEMPRESA;20/04/2010;Em Operação;Locadora de Veículos para Turistas;04564-030;SP;São Paulo;Cidade Monções;Los Ângeles; - ;(11)5041-1900;atendimento@sevenexecutive.com;atendimento@sevenexecutive.com; - ;10/03/2020 16:20:11;10/03/2022 16:20:11;12.115.517/0001-05;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
R. N. L. PARRILHA EIRELI;UNIDAS ALUGUEL DE CARRO;12.137.142/0001-84;MICROEMPRESA;29/06/2010;Em Operação;Locadora de Veículos para Turistas;69900-490;AC;Rio Branco;Bosque;Isaura Parente;- até 499 - lado ímpar;(68)3226-4811;rbrcomercial@unidas.com.br;rbrcomercial@unidas.com.br;www.unidas.com.br;14/01/2019 13:08:32;14/01/2021 13:08:32;12.137.142/0001-84;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ;Espanhol|Inglês;0;2020T01
LOCEX TRANSPORTES E LOCADORA DE VEICULOS EXECUTIVOS LTDA;LOCEX TRANSPORTE E TURISMO;12.152.065/0001-31;MICROEMPRESA;27/05/2010;Em Operação;Locadora de Veículos para Turistas;18013-004;SP;Sorocaba;Além Ponte;São Paulo;- de 1632/1633 ao fim ;(15)3233-1010;locexme@gmail.com;locexme@gmail.com; - ;07/01/2019 12:42:21;07/01/2021 12:42:21;12.152.065/0001-31;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
LOCAR MASTER LOCACAO DE VEICULOS LTDA;LOCAR;12.184.472/0001-20;MICROEMPRESA;05/07/2010;Em Operação;Locadora de Veículos para Turistas;52020-060;PE;Recife;Espinheiro;Quarenta e Oito, 76;Sala 101;(81)3314-4888;henrique_pst@yahoo.com.br;henrique_pst@yahoo.com.br;www.locarmaster.com.br;04/02/2019 12:29:36;04/02/2021 12:29:36;12.184.472/0001-20;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
FELIPE DE SA VIEIRA STOLZE;STYLOS;12.202.864/0001-75;MICROEMPRESA;01/07/2010;Em Operação;Locadora de Veículos para Turistas;45810-000;BA;Porto Seguro;Cigana;R DAS PITANGUEIRAS;BAIRRO MANOEL CARNEIRO - SEDE, N° 201;(73)3288-2277;stylos@styloslocadora.com.br;felipe_stolze@hotmail.com; - ;22/03/2019 11:38:06;22/03/2021 11:38:06;12.202.864/0001-75;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
MR DOS SANTOS TRANSPORTE TURISTICO;MR DOS SANTOS TRANSPORTE TURISTICO;12.215.607/0001-78;MICROEMPRESA;13/07/2010;Em Operação;Locadora de Veículos para Turistas;20765-360;RJ;Rio de Janeiro;Engenho da Rainha;Moreia; - ;(21)9848-7229;mauro.transfer@hotmail.com;mauro.transfer@hotmail.com;www.mrsexecutive.com.br;06/09/2018 10:19:32;06/09/2020 10:19:32;12.215.607/0001-78;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ;Espanhol|Inglês;0;2020T01
RENAMAR LOCADORA EIRELI;RENAMAR;12.290.394/0001-49;MICROEMPRESA;27/07/2010;Em Operação;Locadora de Veículos para Turistas;27323-190;RJ;Barra Mansa;Vila Coringa;Mário Augusto Alves; - ;(24)3322-9652;marioandrade4@hotmail.com;marioandrade4@hotmail.com; - ;06/11/2018 10:35:37;06/11/2020 10:35:37;12.290.394/0001-49;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ;Espanhol;0;2020T01
WMR LOCADORA DE VEICULOS LTDA;RAMOS LOCADORA DE VEICULOS;12.292.328/0001-08;MICROEMPRESA;27/07/2010;Em Operação;Locadora de Veículos para Turistas;39205-000;MG;Três Marias; - ;Avenida Getulio Vargas 37 Parque Diadorim; - ;(38)3754-2629;financeiro@ramoslocadora.com.br;financeiro@ramoslocadora.com.br;www.ramoslocadora.com.br;26/11/2019 11:11:24;26/11/2021 11:11:24;12.292.328/0001-08;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Espanhol|Inglês;0;2020T01
EXPRESSO RS CARGAS E ENCOMENDAS LTDA;EXPRESSO RS CARGAS E ENCOMENDAS LTDA;12.305.596/0001-17;DEMAIS;22/07/2010;Em Operação;Locadora de Veículos para Turistas;02120-001;SP;São Paulo;Vila Maria;Sem Logradouro; - ;(11)2935-3823;financeiro@expressors.com.br;comercial@expressors.com.br;www.expresso.com.br;12/02/2019 10:09:43;12/02/2021 10:09:43;12.305.596/0001-17;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada;Terrestre; - ;Microonibus;Espanhol|Inglês;7;2020T01
JC. INSTALACAO ELETRICA E TRANSPORTE LTDA;JC. INSTALAÇÃO ELETRICA E TRANSPORTE;12.334.091/0001-80;MICROEMPRESA;05/08/2010;Em Operação;Locadora de Veículos para Turistas;79290-000;MS;Bonito; - ;IRATI BARRETO MAIA, 81; - ;(67)9272-8971;joao.j.p.v@hotmail.com;joao.j.p.v@hotmail.com; - ;03/09/2019 10:10:03;03/09/2021 10:10:03;12.334.091/0001-80;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Português;0;2020T01
D. QUINTANILHA JOAQUIM - LOCADORA;DANTUR VIAGENS E TURISMO ;12.335.413/0001-06;MICROEMPRESA;20/07/2010;Em Operação;Locadora de Veículos para Turistas;12722-000;SP;Cruzeiro;Vila Romana;Cruzeiro numero 850; - ;(12)3143-6845;mcmcontabilidade1973@gmail.com;mcmcontabilidade1973@gmail.com; - ;05/11/2019 12:02:10;05/11/2021 12:02:10;12.335.413/0001-06;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual);Terrestre; - ;Microonibus; - ;2;2020T01
MIXLOC - LOCACAO DE VEICULOS LTDA;MIXLOC - LOCAÇÃO E SERVIÇOS;12.336.139/0001-90;DEMAIS;05/08/2010;Em Operação;Locadora de Veículos para Turistas;57308-000;AL;Arapiraca;Planalto;AL-220; - ;(82)3539-8888;comercial@mixlocserv.com.br;comercial@mixlocserv.com.br; - ;15/07/2019 13:08:07;15/07/2021 13:08:07;12.336.139/0001-90;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
J. G. O. LOCADORA DE VEICULOS, TRANSPORTES E TURISMO LTDA;J.G.O.;12.351.801/0001-80;EMPRESA DE PEQUENO PORTE;23/07/2010;Em Operação;Locadora de Veículos para Turistas;13820-000;SP;Jaguariúna; - ;rua João Pires Germano, nº 692;jardim maua II;(19)3837-2154;contato@atyvacontabil.com.br;contato@atyvacontabil.com.br; - ;17/05/2018 15:09:35;17/05/2020 15:09:35;12.351.801/0001-80;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
BRASILIA LOCADORA E TURISMO LTDA;TRANSPORTARE;12.356.306/0001-64;MICROEMPRESA;02/08/2010;Em Operação;Locadora de Veículos para Turistas;72549-350;DF;Brasília;Santa Maria;AC 319;Conjunto B Lote 18;(61)3395-4142;falecom@brasilialocadora.com.br;falecom@brasilialocadora.com.br;https://www.brasilialocadora.com.br;11/04/2018 14:44:25;11/04/2020 14:44:25;12.356.306/0001-64;7721-7/00 - ALUGUEL DE EQUIPAMENTOS RECREATIVOS E ESPORTIVOS;Sociedade Empresária Limitada; - ; - ; - ;Espanhol|Inglês|Italiano;0;2020T01
REIS-TUR VIAGENS E TURISMO LTDA;REIS-TUR;12.358.308/0001-92;MICROEMPRESA;22/05/2009;Em Operação;Locadora de Veículos para Turistas;14735-000;SP;Severínia; - ;R. Dr Salomao Galib Tannuri 480;esquina;(17)3817-1030;reistur_turismo@hotmail.com;reistur_turismo@hotmail.com; - ;13/12/2019 14:27:26;13/12/2021 14:27:26;12.358.308/0001-92;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
MARCOS GOMIDES DOS SANTOS;GOMIDES TRANSPORTES;12.363.155/0001-71;MICROEMPRESA;11/08/2010;Em Operação;Locadora de Veículos para Turistas;79290-000;MS;Bonito; - ;Rua 29 de Maio n°540; - ;(67)9902-4646;gomidestransportes@hotmail.com;gomidestransportes@hotmail.com; - ;29/08/2018 11:24:46;29/08/2020 11:24:46;12.363.155/0001-71;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ;Espanhol|Inglês;0;2020T01
L.V. DE O. SILVA TRANSPORTE EIRELI;APOIO LOGISTICA;12.374.452/0001-12;MICROEMPRESA;04/08/2010;Em Operação;Locadora de Veículos para Turistas;57020-340;AL;Maceió;Centro;Barão de Penedo; - ;(82)8817-0550;VOANDOBAIXOTRANSPORTE@HOTMAIL.COM;VOANDOBAIXOTRANSPORTE@HOTMAIL.COM; - ;13/06/2018 10:59:04;13/06/2020 10:59:04;12.374.452/0001-12;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
EKER LOCACAO DE VEICULOS E SERVICO DE TRANSPORTE DE PASSAGEIROS LTDA;KIRMIZIBEYAZ DO BRASIL RENT A CAR & SHUTTLE;12.379.183/0001-87;MICROEMPRESA;14/08/2010;Em Operação;Locadora de Veículos para Turistas;11730-000;SP;Mongaguá; - ;RUA PEDRO MEMBRIBES, 47; - ;(13)3448-5790;eker@eker.com.br;eker@eker.com.br;www.eker.com.br;13/08/2019 15:44:12;13/08/2021 15:44:12;12.379.183/0001-87;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada;Terrestre; - ;Utilitário;Espanhol|Inglês|Português|Turco;1;2020T01
MO D'MARY LOCACAO DE VEICULOS E COMERCIO DE BOLSAS LTDA;"MÔ D""""MARY TURISMO";12.382.025/0001-86;MICROEMPRESA;16/08/2010;Em Operação;Locadora de Veículos para Turistas;27331-160;RJ;Barra Mansa;Piteiras;José Pereira de Carvalho; - ;(24)3324-7179;modmaryturismo@hotmail.com;modmaryturismo@hotmail.com; - ;10/04/2018 15:17:19;10/04/2020 15:17:19;12.382.025/0001-86;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada;Terrestre; - ;Microonibus|Ônibus; - ;4;2020T01
GUERREIROS GUINCHO E TAXI LTDA;GUERREIROS GUINCHO E TAXI;12.404.201/0001-33;EMPRESA DE PEQUENO PORTE;29/07/2010;Em Operação;Locadora de Veículos para Turistas;48500-000;BA;Euclides da Cunha; - ;Rua Antonio Nogueira Coutinho, 566;;(75)9998-2266;sercont.fsa@bol.com.br;sercont.fsa@bol.com.br; - ;30/05/2019 15:02:42;30/05/2021 15:02:42;12.404.201/0001-33;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Espanhol;0;2020T01
FORTE LOCADORA DE VEICULOS E TURISMO LTDA;FORTE LOCAÇÃO E TURISMO;12.414.899/0001-78;MICROEMPRESA;20/08/2010;Em Operação;Locadora de Veículos para Turistas;72314-301;DF;Brasília;Samambaia Sul (Samambaia);QR 516 Conjunto 1; - ;(61)3357-3504;fortelocadoraeturismo@gmail.com;fortelocadoraeturismo@gmail.com; - ;11/01/2019 19:10:10;11/01/2021 19:10:10;12.414.899/0001-78;7719-5/99 - LOCAÇÃO DE OUTROS MEIOS DE TRANSPORTE NÃO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Espanhol|Inglês;0;2020T01
GS COMERCIO E REPRESENTACAO DE COSMETICOS LTDA;gs tur;12.418.340/0001-16;MICROEMPRESA;23/08/2010;Em Operação;Locadora de Veículos para Turistas;56312-140;PE;Petrolina;São Gonçalo;Raimundo Avelar Ramos;casa;(87)8814-3710;GLAUBER_JS@HOTMAIL.COM;GLAUBER_JS@HOTMAIL.COM; - ;17/03/2020 07:45:35;17/03/2022 07:45:35;12.418.340/0001-16;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
COELHO'S TRANSPORTES E LOCADORA DE VEICULOS LTDA;COELHO'S TOUR;12.420.206/0001-50;MICROEMPRESA;19/08/2010;Em Operação;Locadora de Veículos para Turistas;04744-000;SP;São Paulo;Santo Amaro;General Roberto Alves de Carvalho Filho;- até 329/330;(11)2359-4660;coelhorcoelho@gmail.com;atendimento.coelhostour@gmail.com; - ;06/09/2018 11:35:02;06/09/2020 11:35:02;12.420.206/0001-50;7719-5/99 - LOCAÇÃO DE OUTROS MEIOS DE TRANSPORTE NÃO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
IRMAOS ELIEZER & ELICLESER TRANSPORTES LTDA;CHT;12.431.661/0001-50;MICROEMPRESA;03/08/2010;Em Operação;Locadora de Veículos para Turistas;13386-080;SP;Nova Odessa;Jardim Santa Rita I;Cyro Barufaldi, 148; - ;(19)3498-0057;ESCRITORIOMOTTA@GMAIL.COM;fiscalmotta@gmail.com; - ;23/01/2019 15:10:59;23/01/2021 15:10:59;12.431.661/0001-50;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
PAIXAO LOCADORA DE VEICULOS LTDA;PAIXÃO TUR;12.481.675/0001-89;MICROEMPRESA;02/09/2010;Em Operação;Locadora de Veículos para Turistas;49520-000;SE;Campo do Brito; - ;Sem Logradouro; - ;(79)9981-7771;kikopaixaose@hotmail.com;kikopaixaose@hotmail.com; - ;22/07/2018 12:15:16;22/07/2020 12:15:16;12.481.675/0001-89;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada;Terrestre; - ;Van; - ;1;2020T01
WEB CAR EXPRESS LOCACOES E SERVICOS INTEGRADOS S/S LTDA;WEB CAR EXPRESS;12.496.100/0001-30;MICROEMPRESA;20/07/2010;Em Operação;Locadora de Veículos para Turistas;26526-020;RJ;Nilópolis;Centro;São Gonçalo; - ;(21)2669-1077;gustavo@webcarexpress.com.br;gustavo@webcarexpress.com.br;www.webcarexpress.com.br;09/08/2018 16:31:00;09/08/2020 16:31:00;12.496.100/0001-30;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Simples Limitada; - ; - ; - ; - ;0;2020T01
CARAVELA LOCACOES DE VEICULOS LTDA;CARAVELA LOCAÇÕES;12.502.403/0001-18;MICROEMPRESA;02/09/2010;Em Operação;Locadora de Veículos para Turistas;51250-170;PE;Recife;Jordão;Luís Câmara;82;(81)3342-5602;caravelalocacoes@gmail.com;caravelalocacoes@gmail.com; - ;30/04/2020 09:02:43;30/04/2022 09:02:43;12.502.403/0001-18;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
